"","ind","palavra"
"1",2,"beleza"
"2",4,"Ensino"
"3",4,"Desafio"
"4",4,"Mudança"
"5",4,"Qualidade"
"6",4,"Educação"
"7",6,"amizade"
"8",6,"histórias"
"9",6,"aprendizado"
"10",6,"paisagem"
"11",6,"mudanças"
"12",7,"REALIZAÇÃO"
"13",7,"SONHO"
"14",7,"CONQUISTA"
"15",7,"CONHECIMENTO"
"16",7,"e"
"17",7,"AMOR."
"18",8,"Grande"
"19",8,"quente"
"20",8,"capivaras"
"21",8,"linda"
"22",8,"DEGEO."
"23",9,"Humanas"
"24",9,"mato"
"25",9,"Seropédica"
"26",9,"estudos"
"27",9,"formação"
"28",10,"uau!"
"29",10,"realizações"
"30",10,"desafios"
"31",10,"mudanças"
"32",10,"amadurecimento."
"33",11,"Interior"
"34",11,"bonito"
"35",11,"grande"
"36",11,"diferenciado"
"37",11,"imensurável"
"38",12,"Gigante"
"39",12,"linda"
"40",12,"mato"
"41",12,"referência"
"42",12,"baixada"
"43",13,"Longe"
"44",13,"legal"
"45",13,"bonito"
"46",13,"cansativo"
"47",13,"andar"
"48",14,"Mais"
"49",14,"Bela"
"50",14,"natureza"
"51",14,"grande"
"52",14,"capivara"
"53",14,"e"
"54",14,"família"
"55",16,"Capivara"
"56",16,"Natureza"
"57",16,"Tradição"
"58",16,"Interesse"
"59",16,"Beleza"
"60",18,"boa"
"61",18,"faculdade"
"62",19,"Faculdade"
"63",19,"Federal"
"64",19,"rural"
"65",19,"Engenharia"
"66",19,"Química"
"67",19,"Instituto"
"68",19,"de"
"69",19,"Ciências"
"70",19,"Exatas"
"71",19,"e"
"72",19,"Instituto"
"73",19,"de"
"74",19,"Tecnologia."
"75",20,"Capivara"
"76",20,"professores"
"77",20,"má"
"78",20,"iluminação"
"79",20,"bicicleta"
"80",20,"e"
"81",20,"química"
"82",21,"Grande"
"83",21,"capivara"
"84",21,"histórica"
"85",21,"bonita"
"86",21,"mato"
"87",22,"beleza"
"88",22,"felicidade"
"89",22,"falta"
"90",22,"de"
"91",22,"papel"
"92",22,"cansaço"
"93",22,"gratidão"
"94",23,"Estudo"
"95",24,"Roça"
"96",25,"Mato"
"97",25,"Bonita"
"98",25,"Capivara"
"99",25,"Histórica"
"100",25,"Grande"
"101",26,"Capivara"
"102",26,"festa"
"103",26,"amizade"
"104",26,"dificuldades"
"105",26,"gratidão"
"106",27,"Muito"
"107",27,"calor"
"108",27,"mato"
"109",27,"capivara"
"110",27,"amizade"
"111",27,"casa"
"112",28,"Legal"
"113",28,"dificuldade"
"114",28,"longe"
"115",28,"calma"
"116",28,"vontade"
"117",29,"Capivara"
"118",29,"minha"
"119",29,"segunda"
"120",29,"casa"
"121",29,"ruralino"
"122",29,"anda"
"123",29,"muito"
"124",29,"cálculo"
"125",29,"e"
"126",29,"daab"
"127",30,"Capivara"
"128",30,"diversidade"
"129",30,"roça"
"130",30,"interior"
"131",30,"acolhimento"
"132",31,"Capivara"
"133",31,"realização"
"134",31,"conquista"
"135",31,"seropedica"
"136",31,"história"
"137",33,"Grande"
"138",33,"quente"
"139",33,"capivara"
"140",33,"incrível"
"141",33,"lindo"
"142",34,"Paisagem"
"143",34,"cansaço"
"144",34,"gastos"
"145",34,"realização"
"146",34,"capivara."
"147",36,"lago"
"148",36,"mato"
"149",36,"longe"
"150",36,"bonito"
"151",36,"calmo"
"152",38,"Sacrifício"
"153",38,"status"
"154",38,"conhecimento"
"155",38,"desafio"
"156",38,"crescimento"
"157",39,"mato"
"158",39,"ônibus"
"159",39,"estudos"
"160",39,"andar"
"161",39,"distância"
"162",40,"Linda"
"163",40,"longe"
"164",40,"cansativa"
"165",40,"capivara"
"166",40,"e"
"167",40,"ônibus"
"168",42,"Capivaras"
"169",42,"Seropédica"
"170",42,"progresso"
"171",42,"sonho.."
"172",43,"Beleza"
"173",43,"Mato"
"174",43,"Capivara"
"175",43,"Descuido"
"176",43,"Enorme"
"177",44,"Capivaras"
"178",44,"Bixos"
"179",44,"Sonhos"
"180",44,"Bandejão"
"181",44,"Dedicação"
"182",45,"Pertencimento"
"183",45,"natureza"
"184",45,"amigos"
"185",45,"risada"
"186",45,"conhecimento."
"187",46,"Seropédica"
"188",46,"federal"
"189",46,"oportunidade"
"190",46,"seis"
"191",46,"anos"
"192",46,"graduação"
"193",47,"Festa"
"194",47,"capivara"
"195",47,"mato"
"196",47,"grande"
"197",47,"bonita"
"198",49,"Capivara"
"199",49,"mato"
"200",49,"conhecimento"
"201",49,"Seropédica"
"202",49,"agronomia"
"203",50,"Mato"
"204",50,"fantasminha"
"205",50,"seropédica"
"206",50,"estudos"
"207",50,"amigos"
"208",51,"Mato"
"209",51,"Capivara"
"210",51,"Árvores"
"211",51,"Natureza"
"212",51,"Calor"
"213",53,"Capivara"
"214",53,"Rural"
"215",53,"Belezas"
"216",53,"naturais"
"217",53,"Bom"
"218",53,"ensino"
"219",53,"Fantasminha."
"220",54,"Capivaras"
"221",54,"novidades"
"222",54,"provas"
"223",54,"sol"
"224",54,"da"
"225",54,"peste"
"226",54,"e"
"227",54,"merecimento."
"228",55,"Conquista"
"229",55,"Desafio"
"230",55,"Planejamento"
"231",55,"Jornada"
"232",55,"Novas"
"233",55,"Amizades"
"234",56,"Capivara"
"235",56,"e"
"236",56,"Beleza"
"237",57,"Liberal"
"238",57,"desorganizado"
"239",57,"divertido"
"240",57,"difícil"
"241",57,"e"
"242",57,"longe"
"243",58,"mato"
"244",59,"Distância"
"245",59,"beleza"
"246",59,"sonhos"
"247",59,"pesquisa"
"248",59,"e"
"249",59,"conhecimento"
"250",60,"Elitista"
"251",60,"baixada"
"252",60,"complicada"
"253",60,"difícil"
"254",60,"e"
"255",60,"aprendizado"
"256",61,"Beleza"
"257",61,"grande"
"258",61,"natureza"
"259",61,"animais"
"260",61,"e"
"261",61,"fantasminha"
"262",67,"Seropedica"
"263",67,"longe"
"264",67,"capivara"
"265",67,"ônibus"
"266",67,"mato"
"267",76,"Cansativa"
"268",76,"distante"
"269",76,"perdida"
"270",76,"tranquila"
"271",76,"enorme"
